ano,mes,interruptores,pulsadores,tomadas,total
2014,1,5109625,149613,8168659,13427897
2014,2,5235998,141128,8774994,14152120
2014,3,5100680,144853,8465237,13710770
2014,4,4695875,132094,7774926,12602895
2014,5,5563254,156946,8883242,14603442
2014,6,4941148,133960,8221242,13296350
2014,7,5483596,148944,9110383,14742923
2014,8,5315195,133166,9091765,14540126
2014,9,5891793,149498,9625935,15667226
2014,10,5379266,137857,8784276,14301399
2014,11,5757705,146941,10138703,16043349
2014,12,5655926,126149,9541344,15323419
2015,1,5015563,105452,9070054,14191069
2015,2,5469137,125343,9684637,15279117
2015,3,6134678,152598,10993077,17280353
2015,4,4602975,120741,8202041,12925757
2015,5,4850288,121549,8637872,13609709
2015,6,4843418,116780,8745912,13706110
2015,7,5284518,126299,9483983,14894800
2015,8,5241699,117384,9248414,14607497
2015,9,5579359,144534,10272233,15996126
2015,10,4950655,109958,8907988,13968601
2015,11,5148074,118121,9223530,14489725
2015,12,4598781,103177,8718728,13420686
2016,1,4327195,86882,7869279,12283356
2016,2,3780151,103029,7186589,11069769
2016,3,4390475,116645,8151080,12658200
2016,4,3898762,84899,7406020,11389681
2016,5,3825675,84461,7113903,11024039
2016,6,4541593,109675,8375692,13026960
2016,7,4198103,90431,7709835,11998369
2016,8,4864286,108946,8754379,13727611
2016,9,4493709,101431,8146357,12741497
2016,10,4059839,92092,7528302,11680233
2016,11,4819699,99488,8833870,13753057
2016,12,4893700,101018,8821391,13816109
2017,1,5406960,103074,10335989,15846023
2017,2,6005339,109009,10275818,16390166
2017,3,6274846,127430,11906939,18309215
2017,4,4490548,90741,8609118,13190407
2017,5,5433490,109876,10004523,15547889
2017,6,6126418,128365,11465361,17720144
2017,7,6117036,118502,10263055,16498593
2017,8,7537776,145247,13805415,21488438
2017,9,7580645,124147,13481186,21185978
2017,10,6178787,119094,11205933,17503814
2017,11,6848558,114263,12848771,19811592
2017,12,6729697,123761,12173823,19027281
2018,1,5972410,114136,10684638,16771184
2018,2,5308797,102223,9914946,15325966
2018,3,6624642,120509,11212907,17958058
2018,4,5601874,113826,10430281,16145981
2018,5,5089887,105885,9106673,14302445
2018,6,7426641,153598,13638412,21218651
2018,7,6930882,146118,12697950,19774950
2018,8,7852693,152031,14727860,22732584
2018,9,7083450,145991,13364558,20593999
2018,10,7772671,149307,14824092,22746070
2018,11,7962269,151975,16005143,24119387
2018,12,6855477,136947,13629098,20621522
2019,1,6645740,132193,13261785,20039718
2019,2,6596965,131941,13016984,19745890
2019,3,6841710,142161,13257066,20240937
2019,4,6438659,137034,12435572,19011266
2019,5,7188188,143371,14101640,21433199
2019,6,7144765,141330,14104676,21390771
2019,7,7637624,140406,14354524,22132554
2019,8,8330530,161490,16343768,24835788
2019,9,8800955,173086,16606116,25580157
2019,10,9160527,167025,17346226,26673778
2019,11,9073670,170865,17581630,26826165
2019,12,8564529,144774,15734906,24444209
2020,1,8109848,174276,16828897,25113021
2020,2,8319920,158709,16320927,24799556
2020,3,5643137,121766,10932815,16697718
2020,4,7702277,118870,13847951,21669098
2020,5,7285316,153342,14454565,21893223
2020,6,11289412,182843,21134965,32607220
2020,7,14516814,236782,27097717,41851313
2020,8,11713475,210921,22059317,33983713
2020,9,10635364,229234,21341217,32205815
2020,10,11688385,213752,21847140,33749277
2020,11,11337980,237001,22187188,33762169
2020,12,10198238,202845,21089020,31490103
